# y, u-velocity, v-velocity, w-velocity, pressure, vis, vorticity, normal, ko2_tke, ko2_omega
1.483156085014343262e-01 8.692440390586853027e-01 1.400516746845326121e-12 0.000000000000000000e+00 -3.362301299603132065e-07 2.125343773514032364e-03 -1.204935073852539062e+00 1.484600752592086792e-01 8.248415775597095490e-03 3.875790119171142578e+00
1.593044996261596680e-01 8.819424510002136230e-01 1.405995437263329872e-12 0.000000000000000000e+00 -3.362301583820226369e-07 2.284770365804433823e-03 -1.111205935478210449e+00 1.594544351100921631e-01 8.178326301276683807e-03 3.570980310440063477e+00
1.708942502737045288e-01 8.943033814430236816e-01 1.398825933557334977e-12 0.000000000000000000e+00 -3.362303289122792194e-07 2.447760431095957756e-03 -1.026882290840148926e+00 1.710507571697235107e-01 8.097621612250804901e-03 3.295973539352416992e+00
1.831087321043014526e-01 9.063578248023986816e-01 1.345578596462226884e-12 0.000000000000000000e+00 -3.362304141774075106e-07 2.613923046737909317e-03 -9.507026076316833496e-01 1.832705438137054443e-01 8.006571792066097260e-03 3.046952009201049805e+00
1.959716677665710449e-01 9.182239770889282227e-01 1.270738180479680235e-12 0.000000000000000000e+00 -3.362294194175774464e-07 2.784471260383725166e-03 -8.816067576408386230e-01 1.944806128740310669e-01 7.905393838882446289e-03 2.820635318756103516e+00
2.095064520835876465e-01 9.296110868453979492e-01 1.171080702029592135e-12 0.000000000000000000e+00 -3.362306131293735234e-07 2.954736584797501564e-03 -8.186296820640563965e-01 2.096797078847885132e-01 7.794268894940614700e-03 2.614235639572143555e+00
2.237359732389450073e-01 9.408295154571533203e-01 1.142063223505407343e-12 0.000000000000000000e+00 -3.362304994425358018e-07 3.129363525658845901e-03 -7.609090805053710938e-01 2.239151149988174438e-01 7.673288229852914810e-03 2.425348043441772461e+00
2.386824041604995728e-01 9.517935514450073242e-01 1.152445109828259540e-12 0.000000000000000000e+00 -3.362306131293735234e-07 3.307461505755782127e-03 -7.076429724693298340e-01 2.388677299022674561e-01 7.542602717876434326e-03 2.251951694488525391e+00
2.543670237064361572e-01 9.624902009963989258e-01 1.171836607784249029e-12 0.000000000000000000e+00 -3.362306983945018146e-07 3.490264993160963058e-03 -6.581020951271057129e-01 2.545556724071502686e-01 7.402332033962011337e-03 2.092351675033569336e+00
2.708099186420440674e-01 9.729157090187072754e-01 1.181956767702663225e-12 0.000000000000000000e+00 -3.362309826115961187e-07 3.679574467241764069e-03 -6.116473674774169922e-01 2.710037827491760254e-01 7.252963259816169739e-03 1.945188522338867188e+00
2.880298495292663574e-01 9.830619692802429199e-01 1.180297071017022414e-12 0.000000000000000000e+00 -3.362311815635621315e-07 3.877389244735240936e-03 -5.678163766860961914e-01 2.882282435894012451e-01 7.095098961144685745e-03 1.809334039688110352e+00
3.060438036918640137e-01 9.929047226905822754e-01 1.168274678386982401e-12 0.000000000000000000e+00 -3.362312099852715619e-07 4.084334708750247955e-03 -5.264726281166076660e-01 3.062462508678436279e-01 6.929543800652027130e-03 1.683938503265380859e+00
3.248669803142547607e-01 1.002440452575683594e+00 1.148747221478563230e-12 0.000000000000000000e+00 -3.362314373589470051e-07 4.296912346035242081e-03 -4.879627525806427002e-01 3.250730633735656738e-01 6.757346447557210922e-03 1.568237423896789551e+00
